TurbulenceModel,FrictionFactor,RelativeError_percent,VelocityProfileRMSE
Standard k-e,0.0189843768888889,0.0822269005847854,0.0158413360458451
RNG k-e,0.0184028444444444,3.14292397660818,0.0165897204690217
Realisable k-e,0.0178532551111111,6.03549941520467,0.0194838605654464
Low-Re k-e,0.0216880355555556,14.1475555555556,0.0214387561814272
