X_over_D,Y_over_D,ValidSampleFraction,StrouhalNumber
2.53837719298246,1.56798245614035,0.99866577718479,0.204136090727151
0.913377192982457,0.317982456140351,0.958639092728486,0.204136090727151
0.913377192982457,0.192982456140351,0.954636424282855,0.204136090727151
0.788377192982456,0.442982456140351,0.958639092728486,0.204136090727151
0.788377192982456,0.317982456140351,0.955970647098065,0.204136090727151
0.788377192982456,0.192982456140351,0.955970647098065,0.204136090727151
0.788377192982456,0.0679824561403514,0.957971981320881,0.204136090727151
0.663377192982456,0.442982456140351,0.95530353569046,0.204136090727151
0.663377192982456,0.317982456140351,0.95396931287525,0.204136090727151
0.663377192982456,0.192982456140351,0.958639092728486,0.204136090727151
0.663377192982456,0.0679824561403514,0.961974649766511,0.204136090727151
0.663377192982456,-0.0570175438596487,0.957304869913276,0.216144096064043
0.663377192982456,-0.182017543859649,0.961307538358906,0.216144096064043
0.663377192982456,-0.432017543859649,0.953302201467645,0.204136090727151
0.538377192982456,0.442982456140351,0.960640426951301,0.204136090727151
0.538377192982456,0.317982456140351,0.972648432288192,0.204136090727151
0.538377192982456,0.192982456140351,0.971314209472982,0.204136090727151
0.538377192982456,0.0679824561403514,0.978652434956638,0.216144096064043
0.538377192982456,-0.0570175438596487,0.976651100733823,0.216144096064043
0.538377192982456,-0.182017543859649,0.969312875250167,0.216144096064043
0.538377192982456,-0.307017543859649,0.969979986657772,0.216144096064043
0.538377192982456,-0.432017543859649,0.969312875250167,0.216144096064043
0.413377192982456,0.567982456140351,0.959306204136091,0.204136090727151
0.413377192982456,0.442982456140351,0.978652434956638,0.204136090727151
0.413377192982456,0.317982456140351,0.981320880587058,0.204136090727151
0.413377192982456,0.192982456140351,0.973315543695797,0.204136090727151
0.413377192982456,0.0679824561403514,0.969979986657772,0.204136090727151
0.413377192982456,-0.0570175438596487,0.969312875250167,0.204136090727151
0.413377192982456,-0.182017543859649,0.981320880587058,0.216144096064043
0.413377192982456,-0.307017543859649,0.969312875250167,0.216144096064043
0.413377192982456,-0.432017543859649,0.977318212141428,0.216144096064043
0.288377192982456,0.567982456140351,0.959973315543696,0.204136090727151
0.288377192982456,0.442982456140351,0.977985323549033,0.204136090727151
0.288377192982456,0.317982456140351,0.975983989326217,0.204136090727151
0.288377192982456,0.192982456140351,0.967311541027352,0.204136090727151
0.288377192982456,0.0679824561403514,0.971981320880587,0.204136090727151
0.288377192982456,-0.0570175438596487,0.981987991994663,0.204136090727151
0.288377192982456,-0.182017543859649,0.979986657771848,0.216144096064043
0.288377192982456,-0.307017543859649,0.977318212141428,0.216144096064043
0.288377192982456,-0.432017543859649,0.972648432288192,0.216144096064043
0.163377192982456,0.567982456140351,0.972648432288192,0.204136090727151
0.163377192982456,0.442982456140351,0.959973315543696,0.204136090727151
0.163377192982456,0.317982456140351,0.969312875250167,0.204136090727151
0.163377192982456,0.192982456140351,0.965310206804536,0.204136090727151
0.163377192982456,0.0679824561403514,0.970647098065377,0.204136090727151
0.163377192982456,-0.0570175438596487,0.965310206804536,0.204136090727151
0.163377192982456,-0.182017543859649,0.971314209472982,0.204136090727151
0.163377192982456,-0.307017543859649,0.968645763842562,0.216144096064043
0.163377192982456,-0.432017543859649,0.975983989326217,0.204136090727151
0.163377192982456,-0.557017543859649,0.95263509006004,0.204136090727151
0.0383771929824561,-0.182017543859649,0.959973315543696,0.204136090727151
0.0383771929824561,-0.307017543859649,0.972648432288192,0.204136090727151
0.0383771929824561,-0.432017543859649,0.987324883255504,0.204136090727151
0.0383771929824561,-0.557017543859649,0.962641761174116,0.228152101400934
-0.0866228070175439,-0.432017543859649,0.967978652434957,0.204136090727151
-0.0866228070175439,-0.557017543859649,0.961307538358906,0.204136090727151
-0.211622807017544,0.567982456140351,0.975316877918612,0.204136090727151
-0.211622807017544,-0.557017543859649,0.95530353569046,0.28819212808539
-0.336622807017544,0.567982456140351,0.985990660440293,0.204136090727151
