ReferenceForce_N,SteadyVoltage_V,EstimatedForce_N,ForceResidual_N,StabilisationTime_s
0,-2.66562792080946e-05,-0.00493132217611184,-0.00493132217611184,25.99
-0.314,0.000101389710200188,-0.318917741150978,-0.00491774115097848,12.8
-0.411,0.000133240211468604,-0.397019561301993,0.013980438698007,20.99
-0.695,0.000249913823559768,-0.683119343252659,0.0118806567473405,0.49
-0.891,0.000334566486995045,-0.890699344559657,0.000300655440342634,0.22
-1.186,0.000455449471427206,-1.1871210878118,-0.00112108781180265,0.07
-1.676,0.000656720473404492,-1.6806653327067,-0.00466533270670211,0.01
-2.656,0.00105497645696774,-2.65724390960861,-0.00124390960860898,0.01
-5.598,0.00225494976062194,-5.59974388341452,-0.00174388341451781,0
-10.501,0.00425505646714407,-10.5042812707282,-0.00328127072820372,0
0.126,-7.83758074709957e-05,0.121892091391008,-0.004107908608992,11.94
1.097,-0.00047685388564238,1.09901527489094,0.00201527489094033,0.04
2.078,-0.000875249598627161,2.07593648759812,-0.00206351240188329,0.03
4.039,-0.00167640597838231,4.04048238146519,0.00148238146518853,0
8.942,-0.00367739505361803,8.94718345851158,0.00518345851157953,0
13.845,-0.00567200135856474,13.8382331028544,-0.00676689714559764,0
