Variable,Change_500_to_750_percent,Change_750_to_1000_percent
Axial velocity,0.955838906803048,0.230092686445561
Pressure,1.88561231285335,0.330998906390539
Turbulent kinetic energy,4.5808001714069,1.18710972884463
Dissipation rate,6.53656758328354,3.02540417223294
Eddy viscosity,12.2953572882411,4.04720844962321
